type,area_in_marla,bedroom,bath,location_city,price
Flat,11.008264462809917,4.0,5.0,Karachi,32500000.0
Flat,5.520661157024794,3.0,3.0,Karachi,15000000.0
Flat,11.107438016528926,4.0,5.0,Karachi,55000000.0
House,6.6115702479338845,3.0,3.0,Karachi,15500000.0
House,33.05785123966942,4.0,5.0,Karachi,145000000.0
Flat,6.413223140495868,3.0,4.0,Karachi,30000000.0
Flat,6.545454545454546,3.0,3.0,Karachi,30000000.0
Flat,3.5041322314049586,2.0,2.0,Karachi,13000000.0
House,4.132231404958677,3.0,3.0,Karachi,12700000.0
Flat,6.545454545454546,3.0,4.0,Karachi,21500000.0
House,11.570247933884298,5.0,5.0,Karachi,120000000.0
House,9.917355371900827,4.0,5.0,Karachi,69800000.0
House,7.933884297520661,6.0,6.0,Karachi,60000000.0
House,9.917355371900827,5.0,5.0,Karachi,91500000.0
House,9.917355371900827,4.0,5.0,Karachi,70000000.0
Flat,3.5041322314049586,2.0,2.0,Karachi,6700000.0
House,1.9834710743801653,5.0,5.0,Karachi,8500000.0
Flat,7.338842975206612,4.0,4.0,Karachi,45000000.0
House,11.570247933884298,4.0,4.0,Karachi,17000000.0
House,16.52892561983471,6.0,6.0,Karachi,170000000.0
House,16.52892561983471,5.0,6.0,Karachi,115000000.0
House,3.9669421487603307,4.0,4.0,Karachi,19900000.0
